student_id,first_name,last_name,department,student_year,section,email
S20CV001,Sai,Joshi,CIVIL,1,A,sai.joshi@example.com
S20CV002,Rudra,Singh,CIVIL,1,A,rudra.singh@example.com
S20CV003,Sai,Kumar,CIVIL,1,A,sai.kumar@example.com
S20CV004,Nisha,Verma,CIVIL,1,A,nisha.verma@example.com
S20CV005,Ira,Joshi,CIVIL,1,A,ira.joshi@example.com
S20CV006,Aarav,Choudhary,CIVIL,1,A,aarav.choudhary@example.com
S20CV007,Reyansh,Kapoor,CIVIL,1,A,reyansh.kapoor@example.com
S20CV008,Riya,Sharma,CIVIL,1,A,riya.sharma@example.com
S20CV009,Nisha,Desai,CIVIL,1,A,nisha.desai@example.com
S20CV010,Pooja,Patel,CIVIL,1,A,pooja.patel@example.com
S20CV011,Rudra,Sethi,CIVIL,1,A,rudra.sethi@example.com
S20CV012,Vihaan,Mehta,CIVIL,1,A,vihaan.mehta@example.com
S20CV013,Diya,Singh,CIVIL,1,A,diya.singh@example.com
S20CV014,Riya,Nair,CIVIL,1,A,riya.nair@example.com
S20CV015,Anaya,Menon,CIVIL,1,A,anaya.menon@example.com
S20CV016,Rudra,Sharma,CIVIL,1,A,rudra.sharma@example.com
S20CV017,Arjun,Reddy,CIVIL,1,A,arjun.reddy@example.com
S20CV018,Pooja,Menon,CIVIL,1,A,pooja.menon@example.com
S20CV019,Arjun,Iyer,CIVIL,1,A,arjun.iyer@example.com
S20CV020,Reyansh,Choudhary,CIVIL,1,A,reyansh.choudhary@example.com
S20CV021,Sai,Menon,CIVIL,1,A,sai.menon@example.com
S20CV022,Vivaan,Malhotra,CIVIL,1,A,vivaan.malhotra@example.com
S20CV023,Rudra,Nair,CIVIL,1,A,rudra.nair@example.com
S20CV024,Reyansh,Choudhary,CIVIL,1,A,reyansh.choudhary@example.com
S20CV025,Aadhya,Joshi,CIVIL,1,A,aadhya.joshi@example.com
S20CV026,Diya,Mehta,CIVIL,1,A,diya.mehta@example.com
S20CV027,Saanvi,Joshi,CIVIL,1,A,saanvi.joshi@example.com
S20CV028,Riya,Chopra,CIVIL,1,A,riya.chopra@example.com
S20CV029,Krishna,Menon,CIVIL,1,A,krishna.menon@example.com
S20CV030,Vihaan,Desai,CIVIL,1,A,vihaan.desai@example.com
S20CV031,Riya,Iyer,CIVIL,1,A,riya.iyer@example.com
S20CV032,Sai,Nair,CIVIL,1,A,sai.nair@example.com
S20CV033,Pooja,Desai,CIVIL,1,A,pooja.desai@example.com
S20CV034,Krishna,Joshi,CIVIL,1,B,krishna.joshi@example.com
S20CV035,Nisha,Kumar,CIVIL,1,B,nisha.kumar@example.com
S20CV036,Vihaan,Iyer,CIVIL,1,B,vihaan.iyer@example.com
S20CV037,Aadhya,Chopra,CIVIL,1,B,aadhya.chopra@example.com
S20CV038,Mira,Chopra,CIVIL,1,B,mira.chopra@example.com
S20CV039,Ayaan,Reddy,CIVIL,1,B,ayaan.reddy@example.com
S20CV040,Diya,Bansal,CIVIL,1,B,diya.bansal@example.com
S20CV041,Tara,Verma,CIVIL,1,B,tara.verma@example.com
S20CV042,Aarav,Kapoor,CIVIL,1,B,aarav.kapoor@example.com
S20CV043,Reyansh,Desai,CIVIL,1,B,reyansh.desai@example.com
S20CV044,Pooja,Kapoor,CIVIL,1,B,pooja.kapoor@example.com
S20CV045,Tara,Desai,CIVIL,1,B,tara.desai@example.com
S20CV046,Mira,Singh,CIVIL,1,B,mira.singh@example.com
S20CV047,Anaya,Choudhary,CIVIL,1,B,anaya.choudhary@example.com
S20CV048,Arjun,Verma,CIVIL,1,B,arjun.verma@example.com
S20CV049,Arjun,Verma,CIVIL,1,B,arjun.verma@example.com
S20CV050,Tara,Malhotra,CIVIL,1,B,tara.malhotra@example.com
S20CV051,Vihaan,Mehta,CIVIL,1,B,vihaan.mehta@example.com
S20CV052,Anaya,Kumar,CIVIL,1,B,anaya.kumar@example.com
S20CV053,Reyansh,Chopra,CIVIL,1,B,reyansh.chopra@example.com
S20CV054,Ayaan,Kumar,CIVIL,1,B,ayaan.kumar@example.com
S20CV055,Diya,Bhatia,CIVIL,1,B,diya.bhatia@example.com
S20CV056,Riya,Desai,CIVIL,1,B,riya.desai@example.com
S20CV057,Arjun,Chopra,CIVIL,1,B,arjun.chopra@example.com
S20CV058,Nisha,Desai,CIVIL,1,B,nisha.desai@example.com
S20CV059,Vihaan,Bansal,CIVIL,1,B,vihaan.bansal@example.com
S20CV060,Diya,Malhotra,CIVIL,1,B,diya.malhotra@example.com
S20CV061,Aditya,Kapoor,CIVIL,1,B,aditya.kapoor@example.com
S20CV062,Arjun,Joshi,CIVIL,1,B,arjun.joshi@example.com
S20CV063,Mira,Kumar,CIVIL,1,B,mira.kumar@example.com
S20CV064,Vivaan,Sethi,CIVIL,1,B,vivaan.sethi@example.com
S20CV065,Aarav,Patel,CIVIL,1,B,aarav.patel@example.com
S20CV066,Krishna,Patel,CIVIL,1,B,krishna.patel@example.com
S20CS001,Saanvi,Singh,CSE,1,A,saanvi.singh@example.com
S20CS002,Vivaan,Iyer,CSE,1,A,vivaan.iyer@example.com
S20CS003,Arjun,Mehta,CSE,1,A,arjun.mehta@example.com
S20CS004,Aadhya,Iyer,CSE,1,A,aadhya.iyer@example.com
S20CS005,Rudra,Singh,CSE,1,A,rudra.singh@example.com
S20CS006,Nisha,Nair,CSE,1,A,nisha.nair@example.com
S20CS007,Arjun,Desai,CSE,1,A,arjun.desai@example.com
S20CS008,Vivaan,Choudhary,CSE,1,A,vivaan.choudhary@example.com
S20CS009,Rudra,Sharma,CSE,1,A,rudra.sharma@example.com
S20CS010,Nisha,Menon,CSE,1,A,nisha.menon@example.com
